name,rank,rater,kind
Four,3,Four,self
Five,1,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,2,Five,peer
Four,5,Five,peer
Five,1,Five,self
One,2,One,self
Two,3,One,peer
Three,4,One,peer
Four,1,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,4,Two,peer
Four,1,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,5,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,1,Four,peer
One,3,Five,peer
Two,2,Five,peer
Three,4,Five,peer
Four,1,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
Two,1,Two,self
One,2,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,5,Three,peer
Two,4,Three,peer
Three,1,Three,self
Four,3,Three,peer
Five,2,Three,peer
One,5,Four,peer
Two,4,Four,peer
Three,3,Four,peer
Four,2,Four,self
Five,1,Four,peer
One,5,Five,peer
Two,4,Five,peer
Three,3,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,4,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,3,Four,peer
Four,4,Four,self
Five,5,Four,peer
One,4,Five,peer
Two,1,Five,peer
Three,3,Five,peer
Four,5,Five,peer
Five,2,Five,self
One,2,One,self
Two,3,One,peer
Three,1,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,4,Two,self
Three,1,Two,peer
Four,3,Two,peer
Five,5,Two,peer
Three,1,Three,self
One,2,Three,peer
Two,3,Three,peer
Four,4,Three,peer
Five,5,Three,peer
One,1,Four,peer
Two,2,Four,peer
Three,3,Four,peer
Four,4,Four,self
Five,5,Four,peer
One,2,Five,peer
Two,1,Five,peer
Three,3,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Four,3,One,peer
Five,4,One,peer
Three,5,One,peer
Two,2,Two,self
One,1,Two,peer
Three,5,Two,peer
Four,4,Two,peer
Five,3,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,4,Three,self
Four,1,Three,peer
Five,5,Three,peer
Four,2,Four,self
One,4,Four,peer
Two,5,Four,peer
Three,3,Four,peer
Five,1,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,5,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,1,One,self
Two,2,One,peer
Three,4,One,peer
Four,3,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,5,Two,peer
Four,4,Two,peer
Five,1,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,5,Four,peer
One,2,Five,peer
Two,1,Five,peer
Three,4,Five,peer
Four,3,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,4,Two,peer
Four,5,Two,peer
Five,1,Two,peer
One,4,Three,peer
Two,2,Three,peer
Three,1,Three,self
Four,5,Three,peer
Five,3,Three,peer
One,4,Four,peer
Two,2,Four,peer
Three,3,Four,peer
Four,1,Four,self
Five,5,Four,peer
Five,1,Five,self
One,2,Five,peer
Two,3,Five,peer
Three,4,Five,peer
Four,5,Five,peer
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,4,Two,peer
Four,1,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,1,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,3,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Four,1,Four,self
Five,5,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,2,Five,peer
Four,1,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Four,3,One,peer
Three,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,1,Two,self
Three,4,Two,peer
Four,2,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,4,Three,self
Four,1,Three,peer
Five,5,Three,peer
Four,1,Four,self
Two,2,Four,peer
One,3,Four,peer
Five,4,Four,peer
Three,5,Four,peer
One,2,Five,peer
Two,1,Five,peer
Three,4,Five,peer
Four,3,Five,peer
Five,5,Five,self
One,2,One,self
Two,3,One,peer
Three,1,One,peer
Four,4,One,peer
Five,5,One,peer
Two,2,Two,self
One,1,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,1,Three,peer
Two,2,Three,peer
Three,3,Three,self
Four,4,Three,peer
Five,5,Three,peer
Four,1,Four,self
Three,2,Four,peer
Two,3,Four,peer
One,4,Four,peer
Five,5,Four,peer
One,1,Five,peer
Two,2,Five,peer
Three,3,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,2,One,self
Two,3,One,peer
Three,4,One,peer
Four,5,One,peer
Five,1,One,peer
One,1,Two,peer
Five,2,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Two,5,Two,self
One,3,Three,peer
Two,2,Three,peer
Three,5,Three,self
Four,1,Three,peer
Five,4,Three,peer
One,3,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Four,1,Four,self
Five,5,Four,peer
One,3,Five,peer
Two,2,Five,peer
Three,1,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,4,Two,peer
Four,3,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,1,Three,self
Four,2,Three,peer
Five,5,Three,peer
Four,2,Four,self
One,3,Four,peer
Two,4,Four,peer
Three,1,Four,peer
Five,5,Four,peer
One,4,Five,peer
Two,2,Five,peer
Three,1,Five,peer
Four,3,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Four,3,One,peer
Three,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,1,Two,self
Three,5,Two,peer
Four,2,Two,peer
Five,4,Two,peer
Three,2,Three,self
One,4,Three,peer
Two,1,Three,peer
Four,3,Three,peer
Five,5,Three,peer
One,1,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,5,Four,peer
Five,3,Five,self
One,2,Five,peer
Two,1,Five,peer
Three,5,Five,peer
Four,4,Five,peer
One,2,One,self
Two,1,One,peer
Three,5,One,peer
Four,3,One,peer
Five,4,One,peer
One,3,Two,peer
Two,2,Two,self
Three,5,Two,peer
Four,1,Two,peer
Five,4,Two,peer
One,4,Three,peer
Two,1,Three,peer
Three,5,Three,self
Four,2,Three,peer
Five,3,Three,peer
One,3,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,2,Four,self
Five,5,Four,peer
One,5,Five,peer
Two,2,Five,peer
Three,4,Five,peer
Four,3,Five,peer
Five,1,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,1,Two,self
Three,4,Two,peer
Four,5,Two,peer
Five,2,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,4,Four,peer
Two,3,Four,peer
Three,2,Four,peer
Four,1,Four,self
Five,5,Four,peer
One,5,Five,peer
Two,4,Five,peer
Three,3,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,3,One,self
Two,2,One,peer
Three,4,One,peer
Four,1,One,peer
Five,5,One,peer
One,3,Two,peer
Two,5,Two,self
Three,2,Two,peer
Four,1,Two,peer
Five,4,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
Four,1,Four,self
Three,2,Four,peer
Two,3,Four,peer
One,4,Four,peer
Five,5,Four,peer
One,5,Five,peer
Two,4,Five,peer
Three,3,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,1,One,self
Three,2,One,peer
Two,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,4,Two,peer
Four,5,Two,peer
Five,1,Two,peer
One,2,Three,peer
Two,1,Three,peer
Three,3,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,1,Four,peer
Three,2,Four,peer
Two,3,Four,peer
Five,4,Four,peer
Four,5,Four,self
One,2,Five,peer
Two,1,Five,peer
Three,3,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,3,Four,peer
Four,4,Four,self
Five,5,Four,peer
Five,3,Five,self
One,5,Five,peer
Two,4,Five,peer
Three,2,Five,peer
Four,1,Five,peer
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
Two,1,Two,self
One,2,Two,peer
Four,3,Two,peer
Three,4,Two,peer
Five,5,Two,peer
Three,3,Three,self
One,1,Three,peer
Two,2,Three,peer
Four,4,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,5,Four,peer
One,3,Five,peer
Two,1,Five,peer
Three,4,Five,peer
Four,2,Five,peer
Five,5,Five,self
One,3,One,self
Two,1,One,peer
Three,2,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,1,Two,self
Three,2,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
Four,1,Four,self
Three,2,Four,peer
Five,3,Four,peer
Two,4,Four,peer
One,5,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,2,Five,peer
Four,5,Five,peer
Five,1,Five,self
One,1,One,self
Two,2,One,peer
Three,4,One,peer
Four,3,One,peer
Five,5,One,peer
Two,2,Two,self
One,1,Two,peer
Three,4,Two,peer
Four,3,Two,peer
Five,5,Two,peer
One,1,Three,peer
Two,2,Three,peer
Four,3,Three,peer
Five,4,Three,peer
Three,5,Three,self
One,5,Four,peer
Two,3,Four,peer
Three,4,Four,peer
Four,2,Four,self
Five,1,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,2,Five,peer
Four,1,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,1,Two,peer
Three,2,Two,peer
Four,3,Two,peer
Five,4,Two,peer
Two,5,Two,self
Three,1,Three,self
One,2,Three,peer
Two,3,Three,peer
Four,4,Three,peer
Five,5,Three,peer
One,3,Four,peer
Two,1,Four,peer
Three,2,Four,peer
Four,5,Four,self
Five,4,Four,peer
One,1,Five,peer
Two,2,Five,peer
Three,3,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
Two,2,Two,self
One,1,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,2,Three,peer
Three,3,Three,self
Four,5,Three,peer
Five,1,Three,peer
One,3,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,2,Four,self
Five,5,Four,peer
Five,1,Five,self
Two,2,Five,peer
One,3,Five,peer
Three,4,Five,peer
Four,5,Five,peer
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,5,Two,peer
Four,4,Two,peer
Five,1,Two,peer
One,5,Three,peer
Two,2,Three,peer
Three,3,Three,self
Four,4,Three,peer
Five,1,Three,peer
One,5,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,2,Four,peer
One,5,Five,peer
Two,4,Five,peer
Three,3,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,1,One,self
Two,2,One,peer
Four,3,One,peer
Three,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,4,Two,peer
Four,3,Two,peer
Five,5,Two,peer
One,2,Three,peer
Two,1,Three,peer
Three,4,Three,self
Four,3,Three,peer
Five,5,Three,peer
Four,3,Four,self
One,1,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Five,5,Four,peer
One,1,Five,peer
Two,2,Five,peer
Four,3,Five,peer
Three,4,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
Two,1,Two,self
One,2,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,4,Three,peer
Two,5,Three,peer
Three,1,Three,self
Four,2,Three,peer
Five,3,Three,peer
One,5,Four,peer
Two,4,Four,peer
Three,3,Four,peer
Four,2,Four,self
Five,1,Four,peer
One,3,Five,peer
Two,1,Five,peer
Three,2,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,2,One,self
Two,1,One,peer
Three,4,One,peer
Four,3,One,peer
Five,5,One,peer
Two,1,Two,self
One,2,Two,peer
Four,3,Two,peer
Five,4,Two,peer
Three,5,Two,peer
One,4,Three,peer
Two,3,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
Four,2,Four,self
One,4,Four,peer
Two,3,Four,peer
Three,5,Four,peer
Five,1,Four,peer
Five,1,Five,self
Two,2,Five,peer
Four,3,Five,peer
Three,4,Five,peer
One,5,Five,peer
One,3,One,self
Two,1,One,peer
Three,4,One,peer
Four,5,One,peer
Five,2,One,peer
One,3,Two,peer
Two,1,Two,self
Three,4,Two,peer
Four,5,Two,peer
Five,2,Two,peer
One,4,Three,peer
Two,2,Three,peer
Three,3,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,4,Four,peer
Two,3,Four,peer
Three,2,Four,peer
Four,1,Four,self
Five,5,Four,peer
One,5,Five,peer
Two,4,Five,peer
Three,3,Five,peer
Four,2,Five,peer
Five,1,Five,self
One,1,One,self
Two,4,One,peer
Three,2,One,peer
Four,3,One,peer
Five,5,One,peer
One,1,Two,peer
Three,2,Two,peer
Four,3,Two,peer
Five,4,Two,peer
Two,5,Two,self
One,3,Three,peer
Two,4,Three,peer
Three,2,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,3,Four,peer
Three,4,Four,peer
Four,1,Four,self
Five,5,Four,peer
One,4,Five,peer
Two,3,Five,peer
Three,2,Five,peer
Four,1,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
Two,1,Two,self
One,2,Two,peer
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,4,Three,self
Four,1,Three,peer
Five,5,Three,peer
One,3,Four,peer
Two,2,Four,peer
Three,4,Four,peer
Four,5,Four,self
Five,1,Four,peer
One,5,Five,peer
Two,1,Five,peer
Three,4,Five,peer
Four,3,Five,peer
Five,2,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,1,Two,peer
Three,2,Two,peer
Two,3,Two,self
Four,4,Two,peer
Five,5,Two,peer
One,2,Three,peer
Two,1,Three,peer
Three,3,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,1,Four,peer
Two,2,Four,peer
Three,3,Four,peer
Four,4,Four,self
Five,5,Four,peer
One,1,Five,peer
Two,2,Five,peer
Three,3,Five,peer
Five,4,Five,self
Four,5,Five,peer
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,5,One,peer
Five,4,One,peer
One,3,Two,peer
Two,2,Two,self
Three,1,Two,peer
Four,5,Two,peer
Five,4,Two,peer
One,2,Three,peer
Two,3,Three,peer
Three,1,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,3,Four,peer
Four,5,Four,self
Five,4,Four,peer
Five,3,Five,self
One,1,Five,peer
Two,2,Five,peer
Three,4,Five,peer
Four,5,Five,peer
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,3,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,1,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,3,Four,peer
Four,4,Four,self
Five,5,Four,peer
One,3,Five,peer
Two,2,Five,peer
Three,4,Five,peer
Four,5,Five,peer
Five,1,Five,self
One,2,One,self
Two,1,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,4,Two,self
Three,1,Two,peer
Four,3,Two,peer
Five,5,Two,peer
One,5,Three,peer
Two,2,Three,peer
Three,1,Three,self
Four,3,Three,peer
Five,4,Three,peer
One,4,Four,peer
Two,2,Four,peer
Three,1,Four,peer
Four,3,Four,self
Five,5,Four,peer
One,2,Five,peer
Two,1,Five,peer
Three,3,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,1,Two,peer
Four,4,Two,peer
Five,5,Two,peer
One,2,Three,peer
Two,3,Three,peer
Three,1,Three,self
Four,4,Three,peer
Five,5,Three,peer
Four,2,Four,self
One,3,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Five,5,Four,peer
One,3,Five,peer
Two,1,Five,peer
Three,2,Five,peer
Four,4,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Four,3,One,peer
Three,4,One,peer
Five,5,One,peer
One,2,Two,peer
Two,1,Two,self
Three,5,Two,peer
Four,3,Two,peer
Five,4,Two,peer
Three,3,Three,self
One,1,Three,peer
Two,2,Three,peer
Four,4,Three,peer
Five,5,Three,peer
One,2,Four,peer
Two,1,Four,peer
Three,4,Four,peer
Four,3,Four,self
Five,5,Four,peer
One,1,Five,peer
Two,2,Five,peer
Four,3,Five,peer
Three,4,Five,peer
Five,5,Five,self
One,1,One,self
Two,2,One,peer
Three,3,One,peer
Four,4,One,peer
Five,5,One,peer
One,3,Two,peer
Two,2,Two,self
Three,4,Two,peer
Four,1,Two,peer
Five,5,Two,peer
One,3,Three,peer
Two,2,Three,peer
Three,1,Three,self
Four,4,Three,peer
Five,5,Three,peer
One,3,Four,peer
Two,4,Four,peer
Three,5,Four,peer
Four,2,Four,self
Five,1,Four,peer
One,2,Five,peer
Two,3,Five,peer
Three,4,Five,peer
Four,1,Five,peer
Five,5,Five,self
