name,rank,total_num,rater,kind
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,1,5,Two,peer
Four,2,5,Two,peer
Three,3,5,Two,peer
Two,4,5,Two,self
Five,5,5,Two,peer
One,1,5,Three,peer
Two,2,5,Three,peer
Three,3,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,3,5,Four,peer
Three,4,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,4,5,Five,peer
Three,3,5,Five,peer
Four,1,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
Two,2,5,Two,self
One,1,5,Two,peer
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
Three,1,5,Three,self
One,2,5,Three,peer
Two,3,5,Three,peer
Four,4,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,3,5,Four,peer
Three,4,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,3,5,Five,peer
Three,1,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,3,5,One,peer
Three,4,5,One,peer
Four,2,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,2,5,Two,self
Three,1,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,3,5,Three,peer
Three,1,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,4,5,Four,peer
Three,2,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,3,5,Five,peer
Three,4,5,Five,peer
Four,5,5,Five,peer
Five,1,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,3,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
Four,2,5,Four,self
One,4,5,Four,peer
Two,3,5,Four,peer
Three,5,5,Four,peer
Five,1,5,Four,peer
Five,1,5,Five,self
Three,2,5,Five,peer
Four,3,5,Five,peer
Two,4,5,Five,peer
One,5,5,Five,peer
One,4,5,One,self
Two,2,5,One,peer
Three,5,5,One,peer
Four,3,5,One,peer
Five,1,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,5,5,Two,peer
Four,3,5,Two,peer
Five,4,5,Two,peer
One,4,5,Three,peer
Two,3,5,Three,peer
Three,5,5,Three,self
Four,2,5,Three,peer
Five,1,5,Three,peer
One,4,5,Four,peer
Two,3,5,Four,peer
Three,5,5,Four,peer
Four,2,5,Four,self
Five,1,5,Four,peer
One,4,5,Five,peer
Two,3,5,Five,peer
Three,5,5,Five,peer
Four,2,5,Five,peer
Five,1,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Five,3,5,One,peer
Four,4,5,One,peer
Three,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Five,3,5,Two,peer
Three,4,5,Two,peer
Four,5,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,5,5,Three,peer
Five,1,5,Three,peer
One,1,5,Four,peer
Two,2,5,Four,peer
Three,5,5,Four,peer
Four,4,5,Four,self
Five,3,5,Four,peer
One,3,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,5,5,Five,peer
Five,2,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,1,5,Two,peer
Three,2,5,Two,peer
Two,3,5,Two,self
Four,4,5,Two,peer
Five,5,5,Two,peer
One,1,5,Three,peer
Three,2,5,Three,self
Two,3,5,Three,peer
Four,4,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,4,5,Four,peer
Three,2,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Three,3,5,Five,peer
Five,4,5,Five,self
Four,5,5,Five,peer
One,3,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,5,5,One,peer
Five,2,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Five,3,5,Two,peer
Four,4,5,Two,peer
Three,5,5,Two,peer
Three,3,5,Three,self
One,1,5,Three,peer
Two,2,5,Three,peer
Four,4,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,5,5,Four,self
Five,3,5,Four,peer
Five,3,5,Five,self
One,4,5,Five,peer
Two,1,5,Five,peer
Three,5,5,Five,peer
Four,2,5,Five,peer
One,1,5,One,self
Three,2,5,One,peer
Two,3,5,One,peer
Five,4,5,One,peer
Four,5,5,One,peer
One,2,5,Two,peer
Two,3,5,Two,self
Three,1,5,Two,peer
Four,5,5,Two,peer
Five,4,5,Two,peer
Three,1,5,Three,self
One,2,5,Three,peer
Two,3,5,Three,peer
Five,4,5,Three,peer
Four,5,5,Three,peer
One,1,5,Four,peer
Three,2,5,Four,peer
Two,3,5,Four,peer
Five,4,5,Four,peer
Four,5,5,Four,self
One,1,5,Five,peer
Three,2,5,Five,peer
Two,3,5,Five,peer
Five,4,5,Five,self
Four,5,5,Five,peer
One,2,5,One,self
Two,1,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
Two,2,5,Two,self
One,1,5,Two,peer
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,3,5,Three,peer
Two,1,5,Three,peer
Three,2,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,3,5,Four,peer
Four,4,5,Four,self
Five,5,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Three,3,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,3,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,5,5,One,peer
Five,2,5,One,peer
One,5,5,Two,peer
Two,3,5,Two,self
Three,4,5,Two,peer
Four,2,5,Two,peer
Five,1,5,Two,peer
One,4,5,Three,peer
Two,3,5,Three,peer
Three,2,5,Three,self
Four,5,5,Three,peer
Five,1,5,Three,peer
One,5,5,Four,peer
Two,4,5,Four,peer
Three,3,5,Four,peer
Four,2,5,Four,self
Five,1,5,Four,peer
One,5,5,Five,peer
Two,4,5,Five,peer
Three,3,5,Five,peer
Four,2,5,Five,peer
Five,1,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Four,3,5,One,peer
Three,4,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,1,5,Two,self
Three,5,5,Two,peer
Four,2,5,Two,peer
Five,4,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,5,5,Four,peer
Four,3,5,Four,self
Five,4,5,Four,peer
One,3,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,5,5,Five,peer
Five,2,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,3,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,1,5,Two,self
Three,4,5,Two,peer
Four,5,5,Two,peer
Five,2,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,3,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,2,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,3,5,Five,peer
Five,5,5,Five,self
One,3,5,One,self
Two,1,5,One,peer
Three,2,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,1,5,Two,self
Three,4,5,Two,peer
Four,5,5,Two,peer
Five,2,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,5,5,Three,peer
Five,1,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,2,5,Four,peer
Four,5,5,Four,self
Five,4,5,Four,peer
One,5,5,Five,peer
Two,1,5,Five,peer
Three,2,5,Five,peer
Four,4,5,Five,peer
Five,3,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,5,5,One,peer
Five,3,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,3,5,Two,peer
Four,5,5,Two,peer
Five,4,5,Two,peer
One,1,5,Three,peer
Two,2,5,Three,peer
Three,3,5,Three,self
Five,4,5,Three,peer
Four,5,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,5,5,Four,self
Five,2,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Three,3,5,Five,peer
Five,4,5,Five,self
Four,5,5,Five,peer
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,4,5,Three,self
Four,3,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,1,5,Four,peer
Four,4,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,3,5,Five,peer
Three,1,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Three,4,5,One,peer
Four,3,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,5,5,Two,peer
Four,3,5,Two,peer
Five,4,5,Two,peer
One,5,5,Three,peer
Two,4,5,Three,peer
Three,3,5,Three,self
Four,2,5,Three,peer
Five,1,5,Three,peer
One,5,5,Four,peer
Two,4,5,Four,peer
Three,3,5,Four,peer
Four,2,5,Four,self
Five,1,5,Four,peer
One,5,5,Five,peer
Two,4,5,Five,peer
Three,3,5,Five,peer
Four,2,5,Five,peer
Five,1,5,Five,self
One,3,5,One,self
Two,1,5,One,peer
Three,2,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,1,5,Two,self
Three,2,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
Three,1,5,Three,self
Five,2,5,Three,peer
Four,3,5,Three,peer
Two,4,5,Three,peer
One,5,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,4,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,5,5,Five,peer
Two,1,5,Five,peer
Three,2,5,Five,peer
Four,3,5,Five,peer
Five,4,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,3,5,One,peer
Five,5,5,One,peer
One,4,5,Two,peer
Two,2,5,Two,self
Three,5,5,Two,peer
Four,1,5,Two,peer
Five,3,5,Two,peer
One,4,5,Three,peer
Two,2,5,Three,peer
Three,3,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
Four,2,5,Four,self
One,4,5,Four,peer
Two,1,5,Four,peer
Three,5,5,Four,peer
Five,3,5,Four,peer
One,5,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,3,5,Five,peer
Five,2,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Four,3,5,One,peer
Three,4,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,5,5,Two,peer
Four,3,5,Two,peer
Five,4,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,5,5,Three,self
Four,3,5,Three,peer
Five,4,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,5,5,Four,peer
Four,2,5,Four,self
Five,4,5,Four,peer
One,2,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,3,5,Five,peer
Five,5,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,5,5,One,peer
Five,3,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,5,5,Four,self
Five,2,5,Four,peer
Five,1,5,Five,self
One,2,5,Five,peer
Two,3,5,Five,peer
Three,4,5,Five,peer
Four,5,5,Five,peer
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,1,5,Two,self
Three,2,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,5,5,Three,peer
Two,3,5,Three,peer
Three,1,5,Three,self
Four,2,5,Three,peer
Five,4,5,Three,peer
One,5,5,Four,peer
Two,2,5,Four,peer
Three,3,5,Four,peer
Four,4,5,Four,self
Five,1,5,Four,peer
Five,1,5,Five,self
Two,2,5,Five,peer
Three,3,5,Five,peer
Four,4,5,Five,peer
One,5,5,Five,peer
One,3,5,One,self
Two,4,5,One,peer
Three,2,5,One,peer
Four,1,5,One,peer
Five,5,5,One,peer
One,3,5,Two,peer
Two,4,5,Two,self
Three,2,5,Two,peer
Four,1,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,3,5,Three,peer
Three,1,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,4,5,Four,peer
Two,3,5,Four,peer
Three,2,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
Four,1,5,Five,peer
Five,2,5,Five,self
Two,3,5,Five,peer
Three,4,5,Five,peer
One,5,5,Five,peer
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Five,3,5,Two,peer
Four,4,5,Two,peer
Three,5,5,Two,peer
Three,2,5,Three,self
One,4,5,Three,peer
Two,3,5,Three,peer
Four,5,5,Three,peer
Five,1,5,Three,peer
One,4,5,Four,peer
Two,2,5,Four,peer
Three,5,5,Four,peer
Four,1,5,Four,self
Five,3,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Three,3,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,4,5,Three,peer
Two,2,5,Three,peer
Three,1,5,Three,self
Four,3,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,3,5,Four,self
Five,5,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Three,3,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,5,5,One,peer
Four,3,5,One,peer
Five,4,5,One,peer
Four,1,5,Two,peer
Three,2,5,Two,peer
Five,3,5,Two,peer
Two,4,5,Two,self
One,5,5,Two,peer
One,4,5,Three,peer
Two,2,5,Three,peer
Three,5,5,Three,self
Four,1,5,Three,peer
Five,3,5,Three,peer
Four,1,5,Four,self
One,2,5,Four,peer
Two,3,5,Four,peer
Three,4,5,Four,peer
Five,5,5,Four,peer
One,3,5,Five,peer
Two,2,5,Five,peer
Three,5,5,Five,peer
Four,1,5,Five,peer
Five,4,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,5,5,One,peer
Four,4,5,One,peer
Five,3,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Four,3,5,Two,peer
Five,4,5,Two,peer
Three,5,5,Two,peer
One,3,5,Three,peer
Two,1,5,Three,peer
Three,5,5,Three,self
Four,2,5,Three,peer
Five,4,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,5,5,Four,peer
Four,1,5,Four,self
Five,4,5,Four,peer
One,3,5,Five,peer
Two,2,5,Five,peer
Three,5,5,Five,peer
Four,4,5,Five,peer
Five,1,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Four,3,5,One,peer
Five,4,5,One,peer
Three,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Four,3,5,Two,peer
Three,4,5,Two,peer
Five,5,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
One,4,5,Four,peer
Two,3,5,Four,peer
Three,5,5,Four,peer
Four,1,5,Four,self
Five,2,5,Four,peer
One,4,5,Five,peer
Two,1,5,Five,peer
Three,2,5,Five,peer
Four,3,5,Five,peer
Five,5,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,5,5,One,peer
Four,3,5,One,peer
Five,4,5,One,peer
Two,2,5,Two,self
One,3,5,Two,peer
Three,5,5,Two,peer
Four,1,5,Two,peer
Five,4,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,5,5,Three,self
Four,1,5,Three,peer
Five,4,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,5,5,Four,peer
Four,4,5,Four,self
Five,1,5,Four,peer
One,5,5,Five,peer
Two,3,5,Five,peer
Three,4,5,Five,peer
Four,2,5,Five,peer
Five,1,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Four,3,5,One,peer
Three,4,5,One,peer
Five,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Four,3,5,Two,peer
Three,4,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,3,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,3,5,Four,self
Five,5,5,Four,peer
One,1,5,Five,peer
Two,2,5,Five,peer
Four,3,5,Five,peer
Three,4,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,4,5,One,peer
Three,5,5,One,peer
Four,3,5,One,peer
Five,2,5,One,peer
One,3,5,Two,peer
Two,2,5,Two,self
Three,4,5,Two,peer
Four,5,5,Two,peer
Five,1,5,Two,peer
One,4,5,Three,peer
Two,3,5,Three,peer
Three,5,5,Three,self
Four,2,5,Three,peer
Five,1,5,Three,peer
One,1,5,Four,peer
Five,2,5,Four,peer
Four,3,5,Four,self
Two,4,5,Four,peer
Three,5,5,Four,peer
Five,1,5,Five,self
Four,2,5,Five,peer
Two,3,5,Five,peer
Three,4,5,Five,peer
One,5,5,Five,peer
One,1,5,One,self
Two,2,5,One,peer
Five,3,5,One,peer
Four,4,5,One,peer
Three,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,4,5,Two,peer
Four,5,5,Two,peer
Five,3,5,Two,peer
Three,3,5,Three,self
One,1,5,Three,peer
Two,2,5,Three,peer
Four,5,5,Three,peer
Five,4,5,Three,peer
One,4,5,Four,peer
Two,2,5,Four,peer
Three,5,5,Four,peer
Four,3,5,Four,self
Five,1,5,Four,peer
One,4,5,Five,peer
Two,2,5,Five,peer
Three,5,5,Five,peer
Four,3,5,Five,peer
Five,1,5,Five,self
One,1,5,One,self
Two,2,5,One,peer
Three,3,5,One,peer
Four,4,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,3,5,Two,self
Three,1,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
Three,1,5,Three,self
One,2,5,Three,peer
Two,3,5,Three,peer
Four,4,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,4,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
One,2,5,Five,peer
Two,1,5,Five,peer
Three,3,5,Five,peer
Four,4,5,Five,peer
Five,5,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,3,5,One,peer
Five,5,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Four,3,5,Two,peer
Three,4,5,Two,peer
Five,5,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,3,5,Three,self
Four,4,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,2,5,Four,peer
Three,4,5,Four,peer
Four,1,5,Four,self
Five,5,5,Four,peer
Five,1,5,Five,self
Three,2,5,Five,peer
Four,3,5,Five,peer
Two,4,5,Five,peer
One,5,5,Five,peer
One,2,5,One,self
Two,1,5,One,peer
Three,3,5,One,peer
Four,5,5,One,peer
Five,4,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Four,3,5,Two,peer
Three,4,5,Two,peer
Five,5,5,Two,peer
One,4,5,Three,peer
Two,2,5,Three,peer
Three,3,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
One,3,5,Four,peer
Two,1,5,Four,peer
Three,4,5,Four,peer
Four,2,5,Four,self
Five,5,5,Four,peer
One,5,5,Five,peer
Two,1,5,Five,peer
Three,2,5,Five,peer
Four,3,5,Five,peer
Five,4,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,4,5,One,peer
Four,3,5,One,peer
Five,5,5,One,peer
One,2,5,Two,peer
Two,1,5,Two,self
Three,3,5,Two,peer
Four,4,5,Two,peer
Five,5,5,Two,peer
One,3,5,Three,peer
Two,2,5,Three,peer
Three,4,5,Three,self
Four,1,5,Three,peer
Five,5,5,Three,peer
Two,1,5,Four,peer
Four,2,5,Four,self
Three,3,5,Four,peer
Five,4,5,Four,peer
One,5,5,Four,peer
One,2,5,Five,peer
Two,1,5,Five,peer
Three,4,5,Five,peer
Four,3,5,Five,peer
Five,5,5,Five,self
One,1,5,One,self
Two,3,5,One,peer
Three,4,5,One,peer
Four,5,5,One,peer
Five,2,5,One,peer
One,5,5,Two,peer
Two,4,5,Two,self
Three,3,5,Two,peer
Four,2,5,Two,peer
Five,1,5,Two,peer
One,5,5,Three,peer
Two,4,5,Three,peer
Three,3,5,Three,self
Four,2,5,Three,peer
Five,1,5,Three,peer
One,5,5,Four,peer
Two,4,5,Four,peer
Three,3,5,Four,peer
Four,2,5,Four,self
Five,1,5,Four,peer
One,5,5,Five,peer
Two,4,5,Five,peer
Three,3,5,Five,peer
Four,2,5,Five,peer
Five,1,5,Five,self
One,2,5,One,self
Two,1,5,One,peer
Three,5,5,One,peer
Four,4,5,One,peer
Five,3,5,One,peer
Two,1,5,Two,self
One,2,5,Two,peer
Five,3,5,Two,peer
Four,4,5,Two,peer
Three,5,5,Two,peer
One,2,5,Three,peer
Two,1,5,Three,peer
Three,5,5,Three,self
Four,4,5,Three,peer
Five,3,5,Three,peer
One,2,5,Four,peer
Two,1,5,Four,peer
Three,5,5,Four,peer
Four,4,5,Four,self
Five,3,5,Four,peer
One,2,5,Five,peer
Two,1,5,Five,peer
Three,5,5,Five,peer
Four,4,5,Five,peer
Five,3,5,Five,self
One,1,5,One,self
